"date" "P" "ETpot" "Q"
2011011303 0 0 0.4877
2011011304 0.3 0 0.4487
2011011305 1.6 0 0.4021
2011011306 1.8 0 0.3689
2011011307 1.9 0 0.3638
2011011308 1.9 0.0052 0.3995
2011011309 1.7 0.0121 0.4761
2011011310 0.1 0.019 0.5735
2011011311 0.1 0.0207 0.6547
2011011312 0.3 0.0241 0.6811
2011011313 0.4 0.0138 0.6733
2011011314 0.2 0.0034 0.6398
2011011315 0 0.0017 0.5846
2011011316 0 0 0.528
2011011317 0.1 0 0.4839
2011011318 0.1 0 0.4479
2011011319 0.1 0 0.418
2011011320 0.1 0 0.393
2011011321 0.1 0 0.3721
2011011322 0 0 0.3544
2011011323 0.5 0 0.3393
2011011400 0.6 0 0.327
2011011401 0.5 0 0.3194
2011011402 0.1 0 0.3194
2011011403 0.6 0 0.327
2011011404 0.1 0 0.3336
2011011405 0.1 0 0.3372
2011011406 0.1 0 0.3375
2011011407 0.3 0 0.3336
2011011408 0.3 0.0075 0.3276
2011011409 0.5 0.0104 0.3205
2011011410 0.4 0.0194 0.3161
2011011411 0.3 0.0179 0.3153
2011011412 0.4 0.0194 0.3159
2011011413 0.4 0.0164 0.3185
2011011414 0.1 0.0075 0.3238
2011011415 0.1 0.0015 0.3288
2011011416 0.9 0 0.3318
2011011417 0.5 0 0.33
2011011418 1.1 0 0.3273
2011011419 2.3 0 0.3354
2011011420 0.3 0 0.3701
2011011421 0.5 0 0.4438
2011011422 0 0 0.5034
2011011423 0 0 0.5236
2011011500 0 0 0.5076
2011011501 0 0 0.4709
2011011502 0 0 0.4298
2011011503 0 0 0.3927
2011011504 0 0 0.3635
2011011505 0 0 0.3393
2011011506 0 0 0.32
2011011507 0 0 0.3035
2011011508 0 0.0144 0.2898
2011011509 0 0.0216 0.2778
2011011510 0 0.0198 0.2675
2011011511 0 0.027 0.2581
2011011512 0 0.0396 0.2502
2011011513 0 0.0577 0.2422
2011011514 0 0.0162 0.2358
2011011515 0 0.0036 0.23
2011011516 0 0 0.2243
2011011517 0 0 0.2184
2011011518 0 0 0.2117
2011011519 0 0 0.2058
2011011520 0 0 0.2009
2011011521 0 0 0.196
2011011522 0 0 0.1921
2011011523 0 0 0.1879
2011011600 0 0 0.184
2011011601 0 0 0.1799
2011011602 0 0 0.1763
2011011603 0 0 0.1725
2011011604 0 0 0.1694
2011011605 0 0 0.1665
2011011606 0 0 0.1637
2011011607 0 0.0013 0.1613
2011011608 0 0.0089 0.1582
2011011609 0 0.0345 0.1559
2011011610 0 0.0485 0.1531
2011011611 0 0.0549 0.1507
2011011612 0 0.0626 0.1486
2011011613 0 0.046 0.1466
2011011614 0 0.0319 0.1447
2011011615 0 0.0115 0.1429
2011011616 0 0 0.1409
2011011617 0 0 0.1384
2011011618 0 0 0.1365
2011011619 0 0 0.1344
2011011620 0 0 0.1324
2011011621 0 0 0.1309
2011011622 0 0 0.1292
2011011623 0 0 0.1275
2011011700 0 0 0.1258
2011011701 0 0 0.1239
2011011702 0 0 0.1223
2011011703 0 0 0.1206
2011011704 0 0 0.119
2011011705 0 0 0.1175
2011011706 0 0 0.1162
2011011707 0 0.0012 0.1149
2011011708 0 0.0048 0.1137
2011011709 0 0.0145 0.1126
2011011710 0 0.0303 0.1111
2011011711 0 0.04 0.11
2011011712 0 0.0448 0.1088
2011011713 0 0.0376 0.108
2011011714 0 0.0206 0.1073
2011011715 0 0.0061 0.1066
2011011716 0.2 0 0.1059
2011011717 0.2 0 0.1047
2011011718 0.1 0 0.1044
2011011719 0 0 0.1044
2011011720 0 0 0.1044
2011011721 0 0 0.1044
2011011722 0 0 0.1038
2011011723 0 0 0.1029
2011011800 0 0 0.102
2011011801 0 0 0.1003
2011011802 0 0 0.0986
2011011803 0 0 0.0971
2011011804 0 0 0.0955
2011011805 0 0 0.0945
2011011806 0 0 0.0937
2011011807 1.8 0 0.093
2011011808 1 0.0087 0.0927
2011011809 3.1 0.0087 0.0968
2011011810 0.3 0.0173 0.1059
2011011811 0 0.0106 0.1299
2011011812 0 0.0154 0.1539
2011011813 0 0.0231 0.1675
2011011814 0 0.0144 0.1725
2011011815 0 0.0019 0.1737
2011011816 0 0 0.1727
2011011817 0 0 0.1687
2011011818 0 0 0.1635
2011011819 0 0 0.1581
2011011820 0 0 0.1529
2011011821 0 0 0.1482
2011011822 0 0 0.1442
2011011823 0 0 0.1402
2011011900 0 0 0.1366
2011011901 0 0 0.1333
2011011902 0 0 0.1299
2011011903 0 0 0.1271
2011011904 0 0 0.1244
2011011905 0 0 0.1218
2011011906 0 0 0.1195
2011011907 0 0.0022 0.1172
2011011908 0.1 0.0086 0.1149
2011011909 0 0.0505 0.1127
2011011910 0 0.0634 0.1108
2011011911 0 0.0548 0.1091
2011011912 0 0.0581 0.1074
2011011913 1 0.0269 0.1063
2011011914 0 0.029 0.1057
2011011915 0 0.0065 0.1083
2011011916 0 0 0.1115
2011011917 0 0 0.1132
2011011918 0 0 0.1141
2011011919 0 0 0.1143
2011011920 0 0 0.1141
2011011921 0 0 0.113
2011011922 0.5 0 0.1111
2011011923 0.1 0 0.1093
2011012000 0.7 0 0.1087
2011012001 0.5 0 0.1087
2011012002 0 0 0.1091
2011012003 0 0 0.1126
2011012004 0 0 0.1159
2011012005 0 0 0.1185
2011012006 0 0 0.1195
2011012007 0 0.002 0.1195
2011012008 0 0.0176 0.1185
2011012009 0 0.0343 0.1159
2011012010 0 0.0539 0.1127
2011012011 0 0.0618 0.1099
2011012012 0 0.0667 0.1074
2011012013 0 0.0382 0.1053
2011012014 0 0.0196 0.1032
2011012015 0 0.0059 0.1015
2011012016 0 0 0.1
2011012017 0 0 0.0981
2011012018 0 0 0.0965
2011012019 0 0 0.0948
2011012020 0 0 0.0932
2011012021 0 0 0.0917
2011012022 0 0 0.09
2011012023 0 0 0.0888
2011012100 0 0 0.0875
2011012101 0 0 0.0863
2011012102 0 0 0.0852
2011012103 0 0 0.0844
2011012104 0 0 0.0835
2011012105 0 0 0.0826
2011012106 0 0 0.0818
2011012107 0 0.0013 0.0809
2011012108 0 0.0147 0.0801
2011012109 0 0.0373 0.0793
2011012110 0 0.0413 0.0784
2011012111 0.2 0.0373 0.0776
2011012112 0.4 0.0333 0.077
2011012113 0.2 0.02 0.0766
2011012114 0 0.0107 0.0767
2011012115 0.2 0.004 0.0775
2011012116 0.1 0 0.0788
2011012117 0 0 0.0812
2011012118 0 0 0.0842
2011012119 0 0 0.0854
2011012120 0 0 0.0862
2011012121 0 0 0.0866
2011012122 0 0 0.0866
2011012123 0.1 0 0.0866
2011012200 0.1 0 0.0862
2011012201 0 0 0.0854
2011012202 0 0 0.085
2011012203 0.3 0 0.085
2011012204 0.4 0 0.085
2011012205 0.6 0 0.085
2011012206 0.1 0 0.0859
2011012207 0 0.0016 0.09
2011012208 0 0.0081 0.0947
2011012209 0 0.013 0.0984
2011012210 0 0.0138 0.1008
2011012211 0 0.0154 0.1018
2011012212 0 0.0309 0.102
2011012213 0.1 0.0089 0.102
2011012214 0.2 0.0049 0.1017
2011012215 0 0.0033 0.1011
2011012216 0 0 0.1005
2011012217 0 0 0.0999
2011012218 0 0 0.0993
2011012219 0 0 0.0984
2011012220 0 0 0.0973
2011012221 0 0 0.0957
2011012222 0 0 0.0942
2011012223 0 0 0.0925
2011012300 0 0 0.091
2011012301 0 0 0.0895
2011012302 0 0 0.0882
2011012303 0 0 0.087
2011012304 0.1 0 0.0858
2011012305 0 0 0.0851
2011012306 0 0 0.0846
2011012307 0 0.0012 0.084
2011012308 0 0.0049 0.0835
2011012309 0 0.0099 0.0834
2011012310 0.1 0.0173 0.083
2011012311 0.1 0.0235 0.0828
2011012312 0 0.0173 0.0828
2011012313 0 0.016 0.0828
2011012314 0 0.0086 0.0828
2011012315 0 0.0012 0.0828
2011012316 0 0 0.0828
2011012317 0 0 0.0828
2011012318 0 0 0.0822
2011012319 0 0 0.0814
2011012320 0 0 0.0802
2011012321 0 0 0.0792
2011012322 0 0 0.0781
2011012323 0 0 0.0771
2011012400 0 0 0.0761
2011012401 0 0 0.0753
2011012402 0 0 0.0747
2011012403 0 0 0.0742
2011012404 0 0 0.0737
2011012405 0 0 0.0732
2011012406 0 0 0.0727
2011012407 0 0.0015 0.0722
2011012408 0 0.0104 0.0718
2011012409 0 0.0254 0.0713
2011012410 0 0.0239 0.0707
2011012411 0.1 0.0328 0.0702
2011012412 0.7 0.0388 0.0702
2011012413 0 0.0313 0.0702
2011012414 0 0.0313 0.0705
2011012415 0 0.0045 0.0729
2011012416 0 0 0.0748
2011012417 0 0 0.0767
2011012418 0 0 0.0779
2011012419 0 0 0.0786
2011012420 0 0 0.0786
2011012421 0 0 0.0786
2011012422 0.2 0 0.0786
2011012423 0 0 0.0786
2011012500 0 0 0.0786
2011012501 0 0 0.0786
2011012502 0 0 0.0786
2011012503 0.3 0 0.0786
2011012504 0.2 0 0.0786
2011012505 0.2 0 0.0794
2011012506 1.9 0 0.081
2011012507 3 0 0.0838
2011012508 0.2 0.009 0.0973
2011012509 0 0.0615 0.1429
2011012510 0 0.0795 0.1881
2011012511 0 0.0897 0.217
2011012512 0 0.0974 0.2184
2011012513 0 0.0359 0.2099
2011012514 0 0.0218 0.2002
2011012515 0 0.0051 0.1909
2011012516 0 0 0.1815
2011012517 0.4 0 0.1727
2011012518 0 0 0.1649
2011012519 0 0 0.1588
2011012520 0 0 0.1537
2011012521 0 0 0.1488
2011012522 0 0 0.1447
2011012523 0 0 0.1407
2011012600 0 0 0.137
2011012601 0 0 0.1337
2011012602 0 0 0.1305
2011012603 0 0 0.1271
2011012604 0 0 0.1243
2011012605 0 0 0.1211
2011012606 0 0 0.1185
2011012607 0 0.0034 0.1159
2011012608 0 0.0169 0.1134
2011012609 0 0.0292 0.1108
2011012610 0 0.0348 0.1083
2011012611 0 0.0326 0.1059
2011012612 0 0.0191 0.1035
2011012613 0 0.0337 0.1015
2011012614 0 0.0225 0.0997
2011012615 0 0.0079 0.0983
2011012616 0 0 0.0965
2011012617 0 0 0.0947
2011012618 0 0 0.093
2011012619 0 0 0.091
2011012620 0 0 0.0892
2011012621 0 0 0.0874
2011012622 0 0 0.0858
2011012623 0 0 0.0843
2011012700 0 0 0.0828
2011012701 0 0 0.0814
2011012702 0 0 0.0802
2011012703 0 0 0.0794
2011012704 0 0 0.0781
2011012705 0 0 0.077
2011012706 0 0 0.0757
2011012707 0 0.0022 0.0746
2011012708 0 0.0207 0.0735
2011012709 0 0.0697 0.0721
2011012710 0 0.1068 0.0708
2011012711 0 0.1318 0.0697
2011012712 0 0.0969 0.0687
2011012713 0 0.049 0.0677
2011012714 0 0.0174 0.067
2011012715 0 0.0054 0.0666
2011012716 0 0 0.0659
2011012717 0 0 0.0652
2011012718 0 0 0.0646
2011012719 0 0 0.0638
2011012720 0 0 0.0627
2011012721 0 0 0.0618
2011012722 0 0 0.0607
2011012723 0 0 0.0597
2011012800 0 0 0.0586
2011012801 0 0 0.0574
2011012802 0 0 0.0565
2011012803 0 0 0.0556
2011012804 0 0 0.0544
2011012805 0 0 0.053
2011012806 0 0 0.0513
2011012807 0 0.0044 0.0499
2011012808 0 0.0273 0.0489
2011012809 0 0.06 0.0484
2011012810 0 0.0838 0.0485
2011012811 0 0.0952 0.0493
2011012812 0 0.0935 0.0495
2011012813 0 0.0758 0.049
2011012814 0 0.0467 0.0486
2011012815 0 0.0132 0.0484
2011012816 0 0 0.0484
2011012817 0 0 0.0484
2011012818 0 0 0.0484
2011012819 0 0 0.0484
2011012820 0 0 0.048
2011012821 0 0 0.0475
2011012822 0 0 0.0471
2011012823 0 0 0.0466
2011012900 0 0 0.0458
2011012901 0 0 0.0447
2011012902 0 0 0.044
2011012903 0 0 0.0433
